2025-09-04T01:16:08.526754404Z [err]  time="2025-09-04T01:16:07Z" level=info msg="execute statement" caller="/home/runner/work/zitadel/zitadel/cmd/setup/46.go:29" file=05-project_members_view.sql migration=46_init_permission_functions
2025-09-04T01:16:08.526758861Z [err]  time="2025-09-04T01:16:07Z" level=info msg="execute statement" caller="/home/runner/work/zitadel/zitadel/cmd/setup/46.go:29" file=06-permitted_orgs_function.sql migration=46_init_permission_functions
2025-09-04T01:16:08.526763171Z [err]  time="2025-09-04T01:16:07Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=03_default_instance
2025-09-04T01:16:08.526767296Z [err]  time="2025-09-04T01:16:07Z" level=info msg="starting migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:69" name=03_default_instance
2025-09-04T01:16:10.001670590Z [err]  time="2025-09-04T01:16:09Z" level=error msg="migration failed" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:71" error="open /current-dir/login-client.pat: no such file or directory" name=03_default_instance
2025-09-04T01:16:10.001676690Z [err]  time="2025-09-04T01:16:09Z" level=error msg="migration failed" caller="/home/runner/work/zitadel/zitadel/cmd/setup/setup.go:364" error="open /current-dir/login-client.pat: no such file or directory" name=03_default_instance
2025-09-04T01:16:10.001682788Z [err]  time="2025-09-04T01:16:09Z" level=fatal msg="setup failed, skipping cleanup" caller="/home/runner/work/zitadel/zitadel/cmd/setup/setup.go:124" error="migration failed: open /current-dir/login-client.pat: no such file or directory"
2025-09-04T01:16:11.110097842Z [err]  time="2025-09-04T01:16:11Z" level=info msg="initialization started" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/init.go:70"
2025-09-04T01:16:11.110103375Z [err]  time="2025-09-04T01:16:11Z" level=info msg="verify user" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_user.go:40" username=postgres
2025-09-04T01:16:11.110109019Z [err]  time="2025-09-04T01:16:11Z" level=info msg="verify database" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_database.go:40" database=railway
2025-09-04T01:16:11.110114346Z [err]  time="2025-09-04T01:16:11Z" level=info msg="verify grant" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_grant.go:35" database=railway user=postgres
2025-09-04T01:16:11.110119929Z [err]  time="2025-09-04T01:16:11Z" level=info msg="verify zitadel" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:80" database=railway
2025-09-04T01:16:11.128190082Z [err]  time="2025-09-04T01:16:11Z" level=info msg="verify system" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:46"
2025-09-04T01:16:11.128196763Z [err]  time="2025-09-04T01:16:11Z" level=info msg="verify encryption keys" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:51"
2025-09-04T01:16:11.128201708Z [err]  time="2025-09-04T01:16:11Z" level=info msg="verify projections" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:56"
2025-09-04T01:16:11.128205872Z [err]  time="2025-09-04T01:16:11Z" level=info msg="verify eventstore" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:61"
2025-09-04T01:16:11.128211484Z [err]  time="2025-09-04T01:16:11Z" level=info msg="verify events tables" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:66"
2025-09-04T01:16:11.132191496Z [err]  time="2025-09-04T01:16:11Z" level=info msg="verify unique constraints" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:71"
2025-09-04T01:16:11.238743460Z [err]  time="2025-09-04T01:16:11Z" level=info msg="setup started" caller="/home/runner/work/zitadel/zitadel/cmd/setup/setup.go:108"
2025-09-04T01:16:11.238749150Z [err]  time="2025-09-04T01:16:11Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=14_events_push
2025-09-04T01:16:11.238753946Z [err]  time="2025-09-04T01:16:11Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=40_init_push_func_v4
2025-09-04T01:16:11.238757756Z [err]  time="2025-09-04T01:16:11Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=01_tables
2025-09-04T01:16:11.238761487Z [err]  time="2025-09-04T01:16:11Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=02_assets
2025-09-04T01:16:11.238765839Z [err]  time="2025-09-04T01:16:11Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=28_add_search_table
2025-09-04T01:16:11.238772043Z [err]  time="2025-09-04T01:16:11Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=31_add_aggregate_index_to_fields
2025-09-04T01:16:11.238776548Z [err]  time="2025-09-04T01:16:11Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=46_init_permission_functions
2025-09-04T01:16:11.241357213Z [err]  time="2025-09-04T01:16:11Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=03_default_instance
2025-09-04T01:16:11.250862519Z [err]  time="2025-09-04T01:16:11Z" level=info msg="starting migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:69" name=03_default_instance
2025-09-04T01:16:12.735013957Z [err]  time="2025-09-04T01:16:12Z" level=warning msg="add unique constraint failed" caller="/home/runner/work/zitadel/zitadel/internal/eventstore/v3/unique_constraints.go:78" error="ERROR: duplicate key value violates unique constraint \"unique_constraints_pkey\" (SQLSTATE 23505)"
2025-09-04T01:16:12.735018820Z [err]  time="2025-09-04T01:16:12Z" level=error msg="migration failed" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:71" error="ID=V3-DKcYh Message=Errors.Instance.Domain.AlreadyExists Parent=(ERROR: duplicate key value violates unique constraint \"unique_constraints_pkey\" (SQLSTATE 23505))" name=03_default_instance
2025-09-04T01:16:12.876346488Z [err]  time="2025-09-04T01:16:12Z" level=error msg="migration failed" caller="/home/runner/work/zitadel/zitadel/cmd/setup/setup.go:364" code=23505 detail="Key (instance_id, unique_type, unique_field)=(, instance_domain, zitadel-development.up.railway.app) already exists." error="ID=V3-DKcYh Message=Errors.Instance.Domain.AlreadyExists Parent=(ERROR: duplicate key value violates unique constraint \"unique_constraints_pkey\" (SQLSTATE 23505))" hint= message="duplicate key value violates unique constraint \"unique_constraints_pkey\"" name=03_default_instance severity=ERROR
